date,country,target,model,forecast_value,actual_value,lower_bound,upper_bound,scenario_id,scenario_variant,predictors,engineered_features,unit,result_type,source_notebook,evaluation_start,evaluation_end,frequency,integration_status,status_message,display_target,notebook_target,official_target,output_scale,display_mode,caveat,display_label
2024-04-01,Malaysia,air_no2,VAR,-4.09784079944454e-05,,,,vehicle_electricity_to_no2,VAR1_Car_Elec_NO2,car_registration;electricity_local,first_difference_air_no2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔNO2,d_air_no2,air_no2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced NO2 scale. It represents change in NO2, not official-scale NO2 concentration.",Forecasted change in NO2
2024-05-01,Malaysia,air_no2,VAR,-4.05265659655244e-05,,,,vehicle_electricity_to_no2,VAR1_Car_Elec_NO2,car_registration;electricity_local,first_difference_air_no2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔNO2,d_air_no2,air_no2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced NO2 scale. It represents change in NO2, not official-scale NO2 concentration.",Forecasted change in NO2
2024-06-01,Malaysia,air_no2,VAR,-4.05236756841733e-05,,,,vehicle_electricity_to_no2,VAR1_Car_Elec_NO2,car_registration;electricity_local,first_difference_air_no2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔNO2,d_air_no2,air_no2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced NO2 scale. It represents change in NO2, not official-scale NO2 concentration.",Forecasted change in NO2
2024-07-01,Malaysia,air_no2,VAR,-4.02888589252648e-05,,,,vehicle_electricity_to_no2,VAR1_Car_Elec_NO2,car_registration;electricity_local,first_difference_air_no2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔNO2,d_air_no2,air_no2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced NO2 scale. It represents change in NO2, not official-scale NO2 concentration.",Forecasted change in NO2
2024-08-01,Malaysia,air_no2,VAR,-4.02728694861728e-05,,,,vehicle_electricity_to_no2,VAR1_Car_Elec_NO2,car_registration;electricity_local,first_difference_air_no2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔNO2,d_air_no2,air_no2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced NO2 scale. It represents change in NO2, not official-scale NO2 concentration.",Forecasted change in NO2
2024-09-01,Malaysia,air_no2,VAR,-4.01703033233163e-05,,,,vehicle_electricity_to_no2,VAR1_Car_Elec_NO2,car_registration;electricity_local,first_difference_air_no2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔNO2,d_air_no2,air_no2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced NO2 scale. It represents change in NO2, not official-scale NO2 concentration.",Forecasted change in NO2
2024-10-01,Malaysia,air_no2,VAR,-4.01559030767404e-05,,,,vehicle_electricity_to_no2,VAR1_Car_Elec_NO2,car_registration;electricity_local,first_difference_air_no2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔNO2,d_air_no2,air_no2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced NO2 scale. It represents change in NO2, not official-scale NO2 concentration.",Forecasted change in NO2
2024-11-01,Malaysia,air_no2,VAR,-4.01035991410604e-05,,,,vehicle_electricity_to_no2,VAR1_Car_Elec_NO2,car_registration;electricity_local,first_difference_air_no2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔNO2,d_air_no2,air_no2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced NO2 scale. It represents change in NO2, not official-scale NO2 concentration.",Forecasted change in NO2
2024-12-01,Malaysia,air_no2,VAR,-4.0087821486078e-05,,,,vehicle_electricity_to_no2,VAR1_Car_Elec_NO2,car_registration;electricity_local,first_difference_air_no2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔNO2,d_air_no2,air_no2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced NO2 scale. It represents change in NO2, not official-scale NO2 concentration.",Forecasted change in NO2
2023-01-01,Malaysia,air_so2,VAR,-1.21463257481992e-05,,,,ipi_electricity_to_so2,VAR2_IPI_Elec_SO2,ipi_abs_index;electricity_local,first_difference_air_so2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔSO2,d_air_so2,air_so2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced SO2 scale. It represents change in SO2, not official-scale SO2 concentration.",Forecasted change in SO2
2023-02-01,Malaysia,air_so2,VAR,1.06068225351799e-05,,,,ipi_electricity_to_so2,VAR2_IPI_Elec_SO2,ipi_abs_index;electricity_local,first_difference_air_so2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔSO2,d_air_so2,air_so2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced SO2 scale. It represents change in SO2, not official-scale SO2 concentration.",Forecasted change in SO2
2023-03-01,Malaysia,air_so2,VAR,4.55020975667297e-06,,,,ipi_electricity_to_so2,VAR2_IPI_Elec_SO2,ipi_abs_index;electricity_local,first_difference_air_so2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔSO2,d_air_so2,air_so2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced SO2 scale. It represents change in SO2, not official-scale SO2 concentration.",Forecasted change in SO2
2023-04-01,Malaysia,air_so2,VAR,5.06513721971627e-06,,,,ipi_electricity_to_so2,VAR2_IPI_Elec_SO2,ipi_abs_index;electricity_local,first_difference_air_so2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔSO2,d_air_so2,air_so2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced SO2 scale. It represents change in SO2, not official-scale SO2 concentration.",Forecasted change in SO2
2023-05-01,Malaysia,air_so2,VAR,4.45036231369653e-06,,,,ipi_electricity_to_so2,VAR2_IPI_Elec_SO2,ipi_abs_index;electricity_local,first_difference_air_so2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔSO2,d_air_so2,air_so2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced SO2 scale. It represents change in SO2, not official-scale SO2 concentration.",Forecasted change in SO2
2023-06-01,Malaysia,air_so2,VAR,4.2653967415318e-06,,,,ipi_electricity_to_so2,VAR2_IPI_Elec_SO2,ipi_abs_index;electricity_local,first_difference_air_so2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔSO2,d_air_so2,air_so2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced SO2 scale. It represents change in SO2, not official-scale SO2 concentration.",Forecasted change in SO2
2023-07-01,Malaysia,air_so2,VAR,4.1066051567411e-06,,,,ipi_electricity_to_so2,VAR2_IPI_Elec_SO2,ipi_abs_index;electricity_local,first_difference_air_so2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔSO2,d_air_so2,air_so2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced SO2 scale. It represents change in SO2, not official-scale SO2 concentration.",Forecasted change in SO2
2023-08-01,Malaysia,air_so2,VAR,4.01664328037921e-06,,,,ipi_electricity_to_so2,VAR2_IPI_Elec_SO2,ipi_abs_index;electricity_local,first_difference_air_so2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔSO2,d_air_so2,air_so2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced SO2 scale. It represents change in SO2, not official-scale SO2 concentration.",Forecasted change in SO2
2023-09-01,Malaysia,air_so2,VAR,3.95845701125207e-06,,,,ipi_electricity_to_so2,VAR2_IPI_Elec_SO2,ipi_abs_index;electricity_local,first_difference_air_so2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔSO2,d_air_so2,air_so2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced SO2 scale. It represents change in SO2, not official-scale SO2 concentration.",Forecasted change in SO2
2023-10-01,Malaysia,air_so2,VAR,3.92254271785946e-06,,,,ipi_electricity_to_so2,VAR2_IPI_Elec_SO2,ipi_abs_index;electricity_local,first_difference_air_so2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔSO2,d_air_so2,air_so2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced SO2 scale. It represents change in SO2, not official-scale SO2 concentration.",Forecasted change in SO2
2023-11-01,Malaysia,air_so2,VAR,3.90001969219098e-06,,,,ipi_electricity_to_so2,VAR2_IPI_Elec_SO2,ipi_abs_index;electricity_local,first_difference_air_so2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔSO2,d_air_so2,air_so2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced SO2 scale. It represents change in SO2, not official-scale SO2 concentration.",Forecasted change in SO2
2023-12-01,Malaysia,air_so2,VAR,3.88597247479888e-06,,,,ipi_electricity_to_so2,VAR2_IPI_Elec_SO2,ipi_abs_index;electricity_local,first_difference_air_so2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔSO2,d_air_so2,air_so2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced SO2 scale. It represents change in SO2, not official-scale SO2 concentration.",Forecasted change in SO2
2024-01-01,Malaysia,air_so2,VAR,3.87719488746755e-06,,,,ipi_electricity_to_so2,VAR2_IPI_Elec_SO2,ipi_abs_index;electricity_local,first_difference_air_so2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔSO2,d_air_so2,air_so2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced SO2 scale. It represents change in SO2, not official-scale SO2 concentration.",Forecasted change in SO2
2024-02-01,Malaysia,air_so2,VAR,3.87171368087181e-06,,,,ipi_electricity_to_so2,VAR2_IPI_Elec_SO2,ipi_abs_index;electricity_local,first_difference_air_so2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔSO2,d_air_so2,air_so2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced SO2 scale. It represents change in SO2, not official-scale SO2 concentration.",Forecasted change in SO2
2024-03-01,Malaysia,air_so2,VAR,3.86829014709781e-06,,,,ipi_electricity_to_so2,VAR2_IPI_Elec_SO2,ipi_abs_index;electricity_local,first_difference_air_so2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔSO2,d_air_so2,air_so2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced SO2 scale. It represents change in SO2, not official-scale SO2 concentration.",Forecasted change in SO2
2024-04-01,Malaysia,air_so2,VAR,3.86615199096752e-06,,,,ipi_electricity_to_so2,VAR2_IPI_Elec_SO2,ipi_abs_index;electricity_local,first_difference_air_so2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔSO2,d_air_so2,air_so2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced SO2 scale. It represents change in SO2, not official-scale SO2 concentration.",Forecasted change in SO2
2024-05-01,Malaysia,air_so2,VAR,3.86481657744698e-06,,,,ipi_electricity_to_so2,VAR2_IPI_Elec_SO2,ipi_abs_index;electricity_local,first_difference_air_so2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔSO2,d_air_so2,air_so2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced SO2 scale. It represents change in SO2, not official-scale SO2 concentration.",Forecasted change in SO2
2024-06-01,Malaysia,air_so2,VAR,3.86398253503724e-06,,,,ipi_electricity_to_so2,VAR2_IPI_Elec_SO2,ipi_abs_index;electricity_local,first_difference_air_so2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔSO2,d_air_so2,air_so2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced SO2 scale. It represents change in SO2, not official-scale SO2 concentration.",Forecasted change in SO2
2024-07-01,Malaysia,air_so2,VAR,3.86346162602601e-06,,,,ipi_electricity_to_so2,VAR2_IPI_Elec_SO2,ipi_abs_index;electricity_local,first_difference_air_so2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔSO2,d_air_so2,air_so2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced SO2 scale. It represents change in SO2, not official-scale SO2 concentration.",Forecasted change in SO2
2024-08-01,Malaysia,air_so2,VAR,3.86313628777059e-06,,,,ipi_electricity_to_so2,VAR2_IPI_Elec_SO2,ipi_abs_index;electricity_local,first_difference_air_so2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔSO2,d_air_so2,air_so2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced SO2 scale. It represents change in SO2, not official-scale SO2 concentration.",Forecasted change in SO2
2024-09-01,Malaysia,air_so2,VAR,3.86293309485634e-06,,,,ipi_electricity_to_so2,VAR2_IPI_Elec_SO2,ipi_abs_index;electricity_local,first_difference_air_so2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔSO2,d_air_so2,air_so2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced SO2 scale. It represents change in SO2, not official-scale SO2 concentration.",Forecasted change in SO2
2024-10-01,Malaysia,air_so2,VAR,3.86280618892266e-06,,,,ipi_electricity_to_so2,VAR2_IPI_Elec_SO2,ipi_abs_index;electricity_local,first_difference_air_so2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔSO2,d_air_so2,air_so2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced SO2 scale. It represents change in SO2, not official-scale SO2 concentration.",Forecasted change in SO2
2024-11-01,Malaysia,air_so2,VAR,3.8627269286946e-06,,,,ipi_electricity_to_so2,VAR2_IPI_Elec_SO2,ipi_abs_index;electricity_local,first_difference_air_so2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔSO2,d_air_so2,air_so2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced SO2 scale. It represents change in SO2, not official-scale SO2 concentration.",Forecasted change in SO2
2024-12-01,Malaysia,air_so2,VAR,3.86267742601594e-06,,,,ipi_electricity_to_so2,VAR2_IPI_Elec_SO2,ipi_abs_index;electricity_local,first_difference_air_so2,ppm change,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,transformed_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,ΔSO2,d_air_so2,air_so2,transformed_differenced,transformed_scale_row_output,"This VAR output is shown in differenced SO2 scale. It represents change in SO2, not official-scale SO2 concentration.",Forecasted change in SO2
2023-01-01,Malaysia,air_pm_25,VAR,12.6592474067632,,,,no2_to_pm25,VAR3_NO2_PM25,air_no2,first_difference_air_no2_predictor,µg/m³,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,official_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,PM2.5,air_pm_25,air_pm_25,official_scale,official_scale_row_output,VAR3 forecasts PM2.5 in official target scale while using differenced NO2 as a transformed predictor.,Forecasted PM2.5
2023-02-01,Malaysia,air_pm_25,VAR,13.7821847686152,,,,no2_to_pm25,VAR3_NO2_PM25,air_no2,first_difference_air_no2_predictor,µg/m³,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,official_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,PM2.5,air_pm_25,air_pm_25,official_scale,official_scale_row_output,VAR3 forecasts PM2.5 in official target scale while using differenced NO2 as a transformed predictor.,Forecasted PM2.5
2023-03-01,Malaysia,air_pm_25,VAR,14.3002403358342,,,,no2_to_pm25,VAR3_NO2_PM25,air_no2,first_difference_air_no2_predictor,µg/m³,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,official_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,PM2.5,air_pm_25,air_pm_25,official_scale,official_scale_row_output,VAR3 forecasts PM2.5 in official target scale while using differenced NO2 as a transformed predictor.,Forecasted PM2.5
2023-04-01,Malaysia,air_pm_25,VAR,14.5510371424908,,,,no2_to_pm25,VAR3_NO2_PM25,air_no2,first_difference_air_no2_predictor,µg/m³,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,official_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,PM2.5,air_pm_25,air_pm_25,official_scale,official_scale_row_output,VAR3 forecasts PM2.5 in official target scale while using differenced NO2 as a transformed predictor.,Forecasted PM2.5
2023-05-01,Malaysia,air_pm_25,VAR,14.6712048927092,,,,no2_to_pm25,VAR3_NO2_PM25,air_no2,first_difference_air_no2_predictor,µg/m³,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,official_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,PM2.5,air_pm_25,air_pm_25,official_scale,official_scale_row_output,VAR3 forecasts PM2.5 in official target scale while using differenced NO2 as a transformed predictor.,Forecasted PM2.5
2023-06-01,Malaysia,air_pm_25,VAR,14.7289079303205,,,,no2_to_pm25,VAR3_NO2_PM25,air_no2,first_difference_air_no2_predictor,µg/m³,future_forecast,var/varOnly(Brandon).ipynb,,,monthly,official_scale_row_output,Notebook-confirmed VAR future forecast row from VarOnlyFileResults.,PM2.5,air_pm_25,air_pm_25,official_scale,official_scale_row_output,VAR3 forecasts PM2.5 in official target scale while using differenced NO2 as a transformed predictor.,Forecasted PM2.5
