date,country,target,model,forecast_value,actual_value,lower_bound,upper_bound,scenario_id,scenario_variant,predictors,engineered_features,unit,result_type,source_notebook,evaluation_start,evaluation_end,frequency,integration_status,status_message,display_target,notebook_target,official_target,output_scale,display_mode,caveat
2022-08-01,Malaysia,air_so2,SARIMA,0.00110330432730355,0.0012,0.000900317788285248,0.00130629086632186,univariate_air_so2,sarima_univariate_2022_test,,seasonal_difference_D1,ppm,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,SO2,air_so2,air_so2,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-09-01,Malaysia,air_so2,SARIMA,0.00110210377063719,0.0012,0.000899021304507756,0.00130518623676662,univariate_air_so2,sarima_univariate_2022_test,,seasonal_difference_D1,ppm,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,SO2,air_so2,air_so2,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-10-01,Malaysia,air_so2,SARIMA,0.00110136989664464,0.0012,0.000898226997982695,0.00130451279530659,univariate_air_so2,sarima_univariate_2022_test,,seasonal_difference_D1,ppm,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,SO2,air_so2,air_so2,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-11-01,Malaysia,air_so2,SARIMA,0.00115089201531099,0.0012,0.000947772438258688,0.0013540115923633,univariate_air_so2,sarima_univariate_2022_test,,seasonal_difference_D1,ppm,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,SO2,air_so2,air_so2,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-12-01,Malaysia,air_so2,SARIMA,0.00120058085348079,0.0013,0.000997456591523178,0.00140370511543841,univariate_air_so2,sarima_univariate_2022_test,,seasonal_difference_D1,ppm,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,SO2,air_so2,air_so2,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-01-01,Malaysia,air_no2,SARIMA,0.00524386832032802,0.0061,0.00305275489332684,0.0074349817473292,univariate_air_no2,sarima_univariate_2022_test,,seasonal_difference_D1,ppm,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,NO2,air_no2,air_no2,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-02-01,Malaysia,air_no2,SARIMA,0.00520522283646175,0.0052,0.00236472513708404,0.00804572053583947,univariate_air_no2,sarima_univariate_2022_test,,seasonal_difference_D1,ppm,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,NO2,air_no2,air_no2,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-03-01,Malaysia,air_no2,SARIMA,0.00588099330755887,0.0058,0.00290893057595195,0.0088530560391658,univariate_air_no2,sarima_univariate_2022_test,,seasonal_difference_D1,ppm,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,NO2,air_no2,air_no2,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-04-01,Malaysia,air_no2,SARIMA,0.00592538554246854,0.0068,0.00294572992058356,0.00890504116435352,univariate_air_no2,sarima_univariate_2022_test,,seasonal_difference_D1,ppm,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,NO2,air_no2,air_no2,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-05-01,Malaysia,air_no2,SARIMA,0.00559881431008763,0.0065,0.00261830531975467,0.00857932330042059,univariate_air_no2,sarima_univariate_2022_test,,seasonal_difference_D1,ppm,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,NO2,air_no2,air_no2,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-06-01,Malaysia,air_no2,SARIMA,0.00501367733897007,0.0064,0.00203083008939799,0.00799652458854216,univariate_air_no2,sarima_univariate_2022_test,,seasonal_difference_D1,ppm,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,NO2,air_no2,air_no2,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-07-01,Malaysia,air_no2,SARIMA,0.00525945412177475,0.0065,0.00227559076040907,0.00824331748314042,univariate_air_no2,sarima_univariate_2022_test,,seasonal_difference_D1,ppm,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,NO2,air_no2,air_no2,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-08-01,Malaysia,air_no2,SARIMA,0.005301754816149,0.0067,0.00231773427872151,0.00828577535357649,univariate_air_no2,sarima_univariate_2022_test,,seasonal_difference_D1,ppm,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,NO2,air_no2,air_no2,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-09-01,Malaysia,air_no2,SARIMA,0.00595955497595286,0.0067,0.0029755364768708,0.00894357347503492,univariate_air_no2,sarima_univariate_2022_test,,seasonal_difference_D1,ppm,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,NO2,air_no2,air_no2,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-10-01,Malaysia,air_no2,SARIMA,0.00637938168286258,0.0063,0.00339534815585799,0.00936341520986717,univariate_air_no2,sarima_univariate_2022_test,,seasonal_difference_D1,ppm,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,NO2,air_no2,air_no2,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-11-01,Malaysia,air_no2,SARIMA,0.00624598420264796,0.0066,0.00326195590700755,0.00923001249828838,univariate_air_no2,sarima_univariate_2022_test,,seasonal_difference_D1,ppm,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,NO2,air_no2,air_no2,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-12-01,Malaysia,air_no2,SARIMA,0.00613374500943992,0.0062,0.00314971509036791,0.00911777492851192,univariate_air_no2,sarima_univariate_2022_test,,seasonal_difference_D1,ppm,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,NO2,air_no2,air_no2,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-01-01,Malaysia,ipi_abs_index_sa,SARIMA,123.682694623013,122.249,119.453549442173,127.911839803852,univariate_ipi_abs_index_sa,sarima_univariate_2022_test,,seasonal_difference_D1,index points,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,Seasonally adjusted IPI absolute index,ipi_abs_index_sa,ipi_abs_index_sa,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-02-01,Malaysia,ipi_abs_index_sa,SARIMA,122.108561696583,123.355,116.235203565157,127.981919828009,univariate_ipi_abs_index_sa,sarima_univariate_2022_test,,seasonal_difference_D1,index points,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,Seasonally adjusted IPI absolute index,ipi_abs_index_sa,ipi_abs_index_sa,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-03-01,Malaysia,ipi_abs_index_sa,SARIMA,124.987196421188,124.059,117.808761403371,132.165631439005,univariate_ipi_abs_index_sa,sarima_univariate_2022_test,,seasonal_difference_D1,index points,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,Seasonally adjusted IPI absolute index,ipi_abs_index_sa,ipi_abs_index_sa,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-04-01,Malaysia,ipi_abs_index_sa,SARIMA,128.868176643187,126.849,120.561720307951,137.174632978423,univariate_ipi_abs_index_sa,sarima_univariate_2022_test,,seasonal_difference_D1,index points,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,Seasonally adjusted IPI absolute index,ipi_abs_index_sa,ipi_abs_index_sa,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-05-01,Malaysia,ipi_abs_index_sa,SARIMA,129.741990274045,123.309,120.419477750653,139.064502797437,univariate_ipi_abs_index_sa,sarima_univariate_2022_test,,seasonal_difference_D1,index points,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,Seasonally adjusted IPI absolute index,ipi_abs_index_sa,ipi_abs_index_sa,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-06-01,Malaysia,ipi_abs_index_sa,SARIMA,127.5532525906,130.293,117.292778891328,137.813726289873,univariate_ipi_abs_index_sa,sarima_univariate_2022_test,,seasonal_difference_D1,index points,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,Seasonally adjusted IPI absolute index,ipi_abs_index_sa,ipi_abs_index_sa,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-07-01,Malaysia,ipi_abs_index_sa,SARIMA,128.627372029129,128.228,117.486767465203,139.767976593055,univariate_ipi_abs_index_sa,sarima_univariate_2022_test,,seasonal_difference_D1,index points,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,Seasonally adjusted IPI absolute index,ipi_abs_index_sa,ipi_abs_index_sa,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-08-01,Malaysia,ipi_abs_index_sa,SARIMA,127.288035378342,129.242,115.311875943629,139.264194813055,univariate_ipi_abs_index_sa,sarima_univariate_2022_test,,seasonal_difference_D1,index points,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,Seasonally adjusted IPI absolute index,ipi_abs_index_sa,ipi_abs_index_sa,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-09-01,Malaysia,ipi_abs_index_sa,SARIMA,125.628800552578,129.37,112.852435479292,138.405165625864,univariate_ipi_abs_index_sa,sarima_univariate_2022_test,,seasonal_difference_D1,index points,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,Seasonally adjusted IPI absolute index,ipi_abs_index_sa,ipi_abs_index_sa,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-10-01,Malaysia,ipi_abs_index_sa,SARIMA,125.351372504241,126.123,111.803423593675,138.899321414807,univariate_ipi_abs_index_sa,sarima_univariate_2022_test,,seasonal_difference_D1,index points,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,Seasonally adjusted IPI absolute index,ipi_abs_index_sa,ipi_abs_index_sa,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-11-01,Malaysia,ipi_abs_index_sa,SARIMA,125.806856493907,127.845,111.510861257196,140.102851730618,univariate_ipi_abs_index_sa,sarima_univariate_2022_test,,seasonal_difference_D1,index points,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,Seasonally adjusted IPI absolute index,ipi_abs_index_sa,ipi_abs_index_sa,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-12-01,Malaysia,ipi_abs_index_sa,SARIMA,124.284111178213,126.652,109.25965274523,139.308569611197,univariate_ipi_abs_index_sa,sarima_univariate_2022_test,,seasonal_difference_D1,index points,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,Seasonally adjusted IPI absolute index,ipi_abs_index_sa,ipi_abs_index_sa,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-01-01,Malaysia,car_registration,SARIMA,40504.4753243639,44567,6088.77724020839,74920.1734085195,univariate_vehicle_registrations,sarima_univariate_2022_test,,seasonal_difference_D1,registrations,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,Vehicle registrations,car_registration,car_registration,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-02-01,Malaysia,car_registration,SARIMA,42055.8940812448,46100,-5319.13001197045,89430.9181744601,univariate_vehicle_registrations,sarima_univariate_2022_test,,seasonal_difference_D1,registrations,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,Vehicle registrations,car_registration,car_registration,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-03-01,Malaysia,car_registration,SARIMA,46438.5065548353,73413,-2527.73450058111,95404.7476102518,univariate_vehicle_registrations,sarima_univariate_2022_test,,seasonal_difference_D1,registrations,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,Vehicle registrations,car_registration,car_registration,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-04-01,Malaysia,car_registration,SARIMA,34958.7941502331,61330,-14339.2092176779,84256.797518144,univariate_vehicle_registrations,sarima_univariate_2022_test,,seasonal_difference_D1,registrations,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,Vehicle registrations,car_registration,car_registration,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
2022-05-01,Malaysia,car_registration,SARIMA,39372.3397071149,52934,-11371.5569836138,90116.2363978435,univariate_vehicle_registrations,sarima_univariate_2022_test,,seasonal_difference_D1,registrations,test_prediction,sarima/univariate/sarima_univariate.ipynb,2022-01-01,2022-12-01,monthly,official_scale_row_output,Notebook-confirmed SARIMA held-out test forecast with actuals and confidence intervals.,Vehicle registrations,car_registration,car_registration,official_scale,official_scale_row_output,Shown as produced by the SARIMA notebook; some R2 values are negative and should be interpreted by the model owner.
